Crop Year,Organic Phase Code,Organic Phase Label
1997,0,Conventional
1998,0,Conventional
1999,0,Conventional
2000,0,Conventional
2001,0,Conventional
2002,0,Conventional
2003,1,Transition
2004,1,Transition
2005,1,Transition
2006,1,Transition
2007,1,Transition
2008,1,Transition
2009,1,Transition
2010,1,Transition
2011,1,Transition
2012,1,Transition
2013,1,Transition
2014,1,Transition
2015,1,Transition
2016,2,Organic
2017,2,Organic
2018,2,Organic
2019,2,Organic
2020,2,Organic
2021,2,Organic
2022,2,Organic
